user,rating,date,review,helpful_count,clean_review
Ian Harvey,1,2025-07-18 16:35:46,"Pretty awful experience so far. Terrible UI, slow loading and a torrent of menus to go through. Setting up payments has never been so frustrating, especially when there're so many restrictions when creating beneficiaries. Not impressed.",2,pretty awful experience so far terrible ui slow loading and a torrent of menus to go through setting up payments has never been so frustrating especially when therere so many restrictions when creating beneficiaries not impressed
Vera Nouvion,1,2025-07-16 08:29:20,Doesn't work,0,doesnt work
ahmed elmasry,1,2025-07-15 08:00:45,crashes often,0,crashes often
Reema Soni,5,2025-07-14 13:33:20,"east to use..user friendly, works without OTP,",0,east to useuser friendly works without otp
Ritesh Agarwal,2,2025-07-11 11:32:12,bakwas,0,bakwas
W Aridi,1,2025-07-04 15:40:15,Feels like an app from 20 years ago in terms of functionality and features,0,feels like an app from years ago in terms of functionality and features
Jonathan Stuart,5,2025-06-30 14:52:20,"Really useful tool for business banking when away from a PC. We use mulitistep authorisation routinely; it just keeps working. No error messages for several months, now. One limitation - some accounts are not accessible in HSBCnet, e.g. loan accounts, money market deposits. We use the Business UK app for those.",14,really useful tool for business banking when away from a pc we use mulitistep authorisation routinely it just keeps working no error messages for several months now one limitation some accounts are not accessible in hsbcnet eg loan accounts money market deposits we use the business uk app for those
VICKY TUNG,5,2025-06-30 06:30:22,easy,0,easy
Manas Ranjan Bal,5,2025-06-27 23:57:57,the user experience is best among all baning I have used so far,0,the user experience is best among all baning i have used so far
Robert Porter,5,2025-06-24 16:47:52,very easy to use,0,very easy to use
kbp sns,5,2025-06-24 14:44:32,Easy to use,0,easy to use
Ceilidh Frewin,4,2025-06-10 19:29:53,offers sufficient functionality without trying to cram too much on the page,0,offers sufficient functionality without trying to cram too much on the page
Ahmmed Kotb,1,2025-06-10 13:20:06,even if I update the app .. it will not work and it need to delete it and install it again .. every time I update the app .. you need to fix this issue,0,even if i update the app it will not work and it need to delete it and install it again every time i update the app you need to fix this issue
Shri Priya,1,2025-06-03 12:54:33,the worst experience always very slow,0,the worst experience always very slow
Bex Dreaming,1,2025-06-02 15:13:27,no longer supports my phone. garbage! I am not getting a new phone just to use this. I'll just switch to santander app which still works.,0,no longer supports my phone garbage i am not getting a new phone just to use this ill just switch to santander app which still works
Amit Puri,3,2025-05-28 16:29:19,very slow,0,very slow
Shahid Imran,5,2025-05-25 11:30:18,Excellent service 👏,0,excellent service
Reghu N,1,2025-05-14 23:40:54,Keeps crashing when depositing checks. updated 6 months later no change. keeps giving random errors when depositing checks. dont think anyone at HSBC really cares,1,keeps crashing when depositing checks updated months later no change keeps giving random errors when depositing checks dont think anyone at hsbc really cares
Manoj Kushwaha,5,2025-05-12 09:43:30,good,0,good
Jitesh Verma,1,2025-05-10 16:31:55,bad,0,bad
Ben,1,2025-05-09 09:10:12,"Hate this app. There is no need for all the login, Pin, second Pin screens. I use it because I have to",0,hate this app there is no need for all the login pin second pin screens i use it because i have to
chhaya potdar,5,2025-05-07 11:36:04,easy to operate,0,easy to operate
Nanaji Bhat,5,2025-05-05 20:28:51,very easy to operate,0,very easy to operate
Joel Singh,2,2025-04-25 14:33:58,not user friendly at all and very dated and laggy.,0,not user friendly at all and very dated and laggy
Nick Talbot,2,2025-04-09 16:10:23,an ok tool from a very ineffective and archaic bank that relies on customer inertia because of the nuisance factor of changing banks,0,an ok tool from a very ineffective and archaic bank that relies on customer inertia because of the nuisance factor of changing banks
K US,5,2025-04-05 20:34:28,It is simple and user friendly,0,it is simple and user friendly
Tulshidas Ingole,5,2025-04-05 20:04:08,very nice service.,0,very nice service
Murray Adair,2,2025-04-04 16:16:56,"Very frustrating app to use. The system is not well designed and when compared to any other banking App I use, it really lacks in performance.",0,very frustrating app to use the system is not well designed and when compared to any other banking app i use it really lacks in performance
Michael Mori,4,2025-04-03 20:51:25,Great but too many unnecessary requests to enter pin numbers.,0,great but too many unnecessary requests to enter pin numbers
Pallab Roy,1,2025-03-28 18:29:15,"Online payments are not possible. Neft Rtgs once again needs new party addition. payments screenshot, Statements screenshot are not possible to take. Extremely inconvenient to use.",0,online payments are not possible neft rtgs once again needs new party addition payments screenshot statements screenshot are not possible to take extremely inconvenient to use
arthur laurent,1,2025-03-27 23:21:50,so complexx,0,so complexx
David Burns,3,2025-03-27 12:40:47,"slow, badly designed, cumbersome, and more limited functionality than the web version. filters on approvals are sluggish and often irrelevant or out of date. global wallet pretty useless",0,slow badly designed cumbersome and more limited functionality than the web version filters on approvals are sluggish and often irrelevant or out of date global wallet pretty useless
Sarvendren Chettiar,1,2025-03-23 09:27:48,Terrible App,0,terrible app
Yogi Singh,5,2025-03-19 12:06:30,user friendly,0,user friendly
Dave Wright,1,2025-03-08 21:40:42,Incredibly difficult to use and interpret. Amazing that these days anyone never mind the size of HSBC can release anything this bad,2,incredibly difficult to use and interpret amazing that these days anyone never mind the size of hsbc can release anything this bad
Jane Lok,2,2025-03-05 00:31:56,Doesn't work half the time,0,doesnt work half the time
Oscar De Ita,1,2025-03-04 04:40:11,"Failing to generate tokens. When requesting tokens, it shows a website error about a resource not being able to load.",0,failing to generate tokens when requesting tokens it shows a website error about a resource not being able to load
Paul Schofield,4,2025-02-26 15:10:26,Problems now logging on to the site,0,problems now logging on to the site
Vj N,1,2025-02-18 15:50:36,Slow,0,slow
Rakibul Mahmud,5,2025-02-18 15:38:05,Good,0,good
Ahmed Nazeek,5,2025-02-16 17:22:30,Outstanding corporate app in Saudi,0,outstanding corporate app in saudi
Jane House,4,2025-02-15 15:33:04,Good,0,good
Tim Clark,5,2025-02-12 16:33:05,Enioying it.,0,enioying it
Joe Fisher,1,2025-02-11 19:19:39,awful,0,awful
mohsin ghaffar,4,2025-02-06 14:16:39,Can be more user friendly,0,can be more user friendly
Angshujyoti Das,4,2025-02-04 23:56:53,"All good, however more features are expected",0,all good however more features are expected
Vetri Selvam,4,2025-02-04 21:12:24,Good,0,good
Mohammed Shadab,5,2025-01-30 12:16:56,"Very user friendly. Easy to use for busy people, takes few seconds to approve transactions.",5,very user friendly easy to use for busy people takes few seconds to approve transactions
Mohammed En-Nunu,1,2025-01-23 13:04:47,"After the last update, I'm not able to use the application to login to HSBCnet website. My work totally stopped",0,after the last update im not able to use the application to login to hsbcnet website my work totally stopped
Mukesh Bhansali,1,2025-01-21 11:16:03,Pathetic slow and worst app,0,pathetic slow and worst app
Ravi Kulkarni,1,2025-01-13 15:09:14,Worst application.,0,worst application
Atul Jagdane,1,2025-01-10 13:08:52,Pathetic. Very slow. Showing all unnecessary tasks to the authorisor which are not belonging to his/her rights.,1,pathetic very slow showing all unnecessary tasks to the authorisor which are not belonging to hisher rights
Caroline Whillock,2,2025-01-08 20:19:43,Can be very slow and clunky,0,can be very slow and clunky
Amit Joshi,4,2024-12-28 08:44:48,Very good,0,very good
Shirish Goel,4,2024-12-26 15:53:53,nice app but a bit slow,0,nice app but a bit slow
I Yousuf,1,2024-12-13 12:34:50,Quite inconvenient to input user name again and again. Please consider reinstating previous policy.,1,quite inconvenient to input user name again and again please consider reinstating previous policy
Ben Elberger,2,2024-12-13 08:27:59,"I dislike this app so much but have to use it for HSBC. You can't approve fixed deposits in the app, the app is slow to process anything, login is a massive pain, no biometrics, the list goes on. Banks gets away with this just because there isn't something better. They get two stars because other banking apps are worse",1,i dislike this app so much but have to use it for hsbc you cant approve fixed deposits in the app the app is slow to process anything login is a massive pain no biometrics the list goes on banks gets away with this just because there isnt something better they get two stars because other banking apps are worse
Matthew Ryans,2,2024-12-10 19:39:14,Annoying,0,annoying
Venkat chirukuri,3,2024-12-06 11:34:25,Pls improve login speed,0,pls improve login speed
Minoti Cama,1,2024-11-27 13:25:17,"I have been using the HSBC mobile phone internet banking service, India, for some years. When I tried to use it today I could not do so. Why?",1,i have been using the hsbc mobile phone internet banking service india for some years when i tried to use it today i could not do so why
Sagar Gupta,1,2024-11-20 09:44:47,Unresponsive app,0,unresponsive app
Andrew Carnall,1,2024-11-16 00:47:15,"Can't see debits by card, log in multiple times to do anything",1,cant see debits by card log in multiple times to do anything
Ahsan Nazir,1,2024-11-13 14:29:28,I cant login in bank website because when i received notification to allow in app its keep rounding and rounding no further movement so i think there is an issue in app.,2,i cant login in bank website because when i received notification to allow in app its keep rounding and rounding no further movement so i think there is an issue in app
Changiz Rastkar,5,2024-11-08 06:33:08,"Clear and straight process, it easy to use.",5,clear and straight process it easy to use
Weng Hoe Choy,5,2024-11-07 08:49:56,User friendly,0,user friendly
Sophie Theys,1,2024-11-07 02:15:39,Terrible app. You need to login / provide security code several times...extra steps compared to previous app. Still lack of space to include full reference on transactions. Got logged off for now reason. Have not been able to make a payment through yet!,6,terrible app you need to login provide security code several timesextra steps compared to previous app still lack of space to include full reference on transactions got logged off for now reason have not been able to make a payment through yet
Shaun Eggleston,3,2024-11-06 13:36:02,"Taking away the remember username is a step backwards, why!!!!",0,taking away the remember username is a step backwards why
Vikram Parihar,3,2024-11-06 12:44:28,Very slow,0,very slow
Philip Holmes,2,2024-11-05 21:02:02,"Turning off username saving has made it significantly slower and more awkward to use, especially given half the hsbc pages require constant signing in on the app for approval",5,turning off username saving has made it significantly slower and more awkward to use especially given half the hsbc pages require constant signing in on the app for approval
Tibor Erdelyi,5,2024-11-04 23:23:38,Excellent thanks,0,excellent thanks
Kay Stanley,5,2024-10-30 20:45:30,I love this app better than using the token,0,i love this app better than using the token
pavan kumar,1,2024-10-27 07:51:38,Dead slow app,0,dead slow app
Afif Jamal,3,2024-10-09 13:52:37,The app is very slow,0,the app is very slow
maan,1,2024-10-09 00:15:07,"App required an update so I had no choice but download the update. When I try to login/authenticate a login, the app is loads nonstop on landing page and not show result",2,app required an update so i had no choice but download the update when i try to loginauthenticate a login the app is loads nonstop on landing page and not show result
Gary Henderson,2,2024-10-08 18:53:20,Slow. Still slow! Third time you've asked. Still slow. Painful,1,slow still slow third time youve asked still slow painful
Hafidh Tamimy,5,2024-10-08 15:22:26,Very good and portable to work with it anywhere 24/7,0,very good and portable to work with it anywhere
Ameer Hamza,1,2024-10-08 15:19:22,"After updating the App, I'm unable to generate security code. 3 times, I uninstalled and re-installed the app and now even, update option is disappeared.",5,after updating the app im unable to generate security code times i uninstalled and reinstalled the app and now even update option is disappeared
Mohamed MAALEJ,1,2024-10-08 13:04:52,I have problem logging to web from my android phone,1,i have problem logging to web from my android phone
Manee Nirmala,5,2024-10-08 12:22:55,Browsing takes long time,0,browsing takes long time
Kwee Yee Lim,1,2024-10-07 09:33:20,Always showing error when trying to login from web and approve from phone! Every month! Android device only!,7,always showing error when trying to login from web and approve from phone every month android device only
Mimi Chua,5,2024-10-03 16:45:32,Great & stable apps with good security features,0,great stable apps with good security features
Savitha Savi,1,2024-09-30 22:15:20,Not working on nothing phone 2,0,not working on nothing phone
Aini Syahida,1,2024-09-30 20:55:42,App is super slow,0,app is super slow
Maurice Cheong,1,2024-09-12 09:26:37,Payment pending is often not there until I do several logging in and out,0,payment pending is often not there until i do several logging in and out
Raj Kiran,1,2024-09-02 16:55:45,Very difficult to filter on the app,0,very difficult to filter on the app
Muhammad Hanan Masood,1,2024-09-01 12:08:52,I'm trying to generatre secruity code to login from yesterday but still getting the error. Its happening only in android devices. Please fix this issue ASAP!!!,17,im trying to generatre secruity code to login from yesterday but still getting the error its happening only in android devices please fix this issue asap
ONYEMACHI Ajah,5,2024-08-29 09:12:40,Great Ok,0,great ok
Sunil Lakal,5,2024-08-27 18:59:29,Easy and secured,1,easy and secured
Siby Joseph,5,2024-08-16 15:44:09,Very easy to use,0,very easy to use
wendy walker,5,2024-08-09 17:55:30,Very easy to use,0,very easy to use
Kalpesh Rane,1,2024-08-07 10:31:47,DOWNLOAD LETEST VERSION STILL SHOWING 8.5 MB PATCH UPDATE AND NOTIFICATION NOT RECEIVED,1,download letest version still showing mb patch update and notification not received
Radiant Synage,1,2024-08-05 13:51:08,Application is not working,0,application is not working
DjSoMoS,5,2024-08-01 08:34:46,"Great app. Easy, secure and powerful. Why can't Desjardins learn from this?",0,great app easy secure and powerful why cant desjardins learn from this
ahmed alwaber,2,2024-07-29 19:58:08,A very basic app,0,a very basic app
Khairul Hamid,5,2024-07-26 10:41:03,Easy to use,0,easy to use
anitha goud,5,2024-07-24 17:03:05,User friendly,0,user friendly
CAPT RATH,5,2024-07-24 10:28:41,Great app,0,great app
Asim Khan,2,2024-07-21 02:20:24,Showing error in updating the app in Android phones,1,showing error in updating the app in android phones
Uldarico Idloy,5,2024-07-16 14:02:58,The best using this app will most reliable sources of information. Account is secured and safety. More people using this app will satisfied and convenient.,0,the best using this app will most reliable sources of information account is secured and safety more people using this app will satisfied and convenient
fruitbat studios,1,2024-07-15 17:35:46,Collects personal data to be sold or lost... Only works on Android 8 or over.,0,collects personal data to be sold or lost only works on android or over
Bhupal chandra Lohani,5,2024-07-09 16:41:51,Extremely good,0,extremely good
Mahesh Hariharan,2,2024-07-05 16:38:44,process is complicated. difficult to trace the authentication notification,0,process is complicated difficult to trace the authentication notification
Amrita Srivastava,1,2024-07-05 14:57:17,Overall HSBC net banking is not at all use friendly. Users just need to keep wandering from one place to another. The toll free numbers keep you waiting till eternity. Not sure if I want to continue keeping my account with this bank or move it,2,overall hsbc net banking is not at all use friendly users just need to keep wandering from one place to another the toll free numbers keep you waiting till eternity not sure if i want to continue keeping my account with this bank or move it
Shelley Mehta,5,2024-07-05 11:32:34,Wonderful app.,0,wonderful app
Dan Hicks,1,2024-07-03 19:21:38,For a large UK bank this app is terrible. Mobile banking has been around for years and I'm trying to use for business transactions. The number of times repeated logins are required to approve payments is painful.,5,for a large uk bank this app is terrible mobile banking has been around for years and im trying to use for business transactions the number of times repeated logins are required to approve payments is painful
Jack,4,2024-07-02 13:08:19,"Clean and straightforward. Does bug out when reopening the app, often failing to reauthenticate, but closing and reopening seems to solve it",0,clean and straightforward does bug out when reopening the app often failing to reauthenticate but closing and reopening seems to solve it
Andy Saunders,4,2024-06-28 15:58:05,It would useful to see the previous days transactions as well as the current days transactions,0,it would useful to see the previous days transactions as well as the current days transactions
Raman Talwar,1,2024-06-20 14:08:01,Pathetic app. Slow and unresponsive most of the time.,1,pathetic app slow and unresponsive most of the time
Andrew Armour,5,2024-06-18 23:06:36,"Great App, works well.",0,great app works well
Chaitanya Koranne,1,2024-06-18 16:24:51,Too slow,0,too slow
Alex Griffiths,1,2024-06-04 13:07:08,Slow and incredibly confusing. Feels like it has been built by the cheapest bidder and never tested by the bank.,3,slow and incredibly confusing feels like it has been built by the cheapest bidder and never tested by the bank
Samy Nimroody,1,2024-05-26 01:24:57,"Worst banking app ever After recent update , won't open",0,worst banking app ever after recent update wont open
C TMH,1,2024-05-23 06:28:40,Slow and buggy on Android. No point giving a review though as nothing gets done. Is there a way to give zero stars? Perhaps negative?,3,slow and buggy on android no point giving a review though as nothing gets done is there a way to give zero stars perhaps negative
Stephen F,3,2024-05-17 15:45:39,Slow app.,0,slow app
Mubashir M. Baig,1,2024-05-14 13:30:15,"It had gotten extremely slow, it takes minutes just to log in.",0,it had gotten extremely slow it takes minutes just to log in
Prashanth Anand,1,2024-05-13 13:04:16,Slow slow slow.,0,slow slow slow
Rima Kumari Pandey,4,2024-05-13 08:53:45,It takes longer time to get logged in.,0,it takes longer time to get logged in
Nishal Bramdav,3,2024-05-07 17:07:55,I am often told to update the app ..and there are NO UPDATES AVAILABLE 😕,0,i am often told to update the app and there are no updates available
Mr O,1,2024-04-30 10:12:51,VERY AWKWARD,0,very awkward
Avdhut Shelar,3,2024-04-25 12:46:16,Very slow. Needs to move faster,1,very slow needs to move faster
David Yoong,4,2024-04-20 16:00:40,hard to share receipt of transfer,0,hard to share receipt of transfer
Jonelle Faria-Edrosolano,1,2024-04-09 05:43:28,"I hate this app and I hate this bank all together. My mom has money in this bank, it's her business account, but I manage things and they are hard to get a hold of and pass you around to random people. It's the worst! This app is so hard to use.",1,i hate this app and i hate this bank all together my mom has money in this bank its her business account but i manage things and they are hard to get a hold of and pass you around to random people its the worst this app is so hard to use
Ben Waxman,5,2024-04-03 04:38:23,It's simple to use.,0,its simple to use
ANISH NR,5,2024-03-30 01:21:36,Great,0,great
Lntphani Uae,5,2024-03-28 17:29:01,Very good. User friendly,0,very good user friendly
C M,1,2024-03-23 19:14:33,The app is failing and I see no update on Google play,0,the app is failing and i see no update on google play
Ming Li,1,2024-03-19 20:05:46,"Very hard to use and limited function. Anyway, HSBC Canada is going away.",0,very hard to use and limited function anyway hsbc canada is going away
KK Dubey,4,2024-03-15 18:15:24,Very Good,0,very good
Kumaressan Suppiah,1,2024-03-08 12:06:26,Useless app. Cannot send to new beneficiary. I have to use the Web version. What's the point of this app when I can pay my suppliers using mobile on the go. Plus only available option on the App is Giro or Rentas. Nonduit now option. International bank with dumb app,2,useless app cannot send to new beneficiary i have to use the web version whats the point of this app when i can pay my suppliers using mobile on the go plus only available option on the app is giro or rentas nonduit now option international bank with dumb app
Abble Cheung,1,2024-03-07 00:34:36,"2 years later, the cheque deposit feature still sucks and no improvement at all. No wonder the bank closed down. You can never take a good picture with the app camera, it keeps saying the cheque amount does not match so 9/10 times I have to drive all the way to the bank to deposit the stupid cheque :(",3,years later the cheque deposit feature still sucks and no improvement at all no wonder the bank closed down you can never take a good picture with the app camera it keeps saying the cheque amount does not match so times i have to drive all the way to the bank to deposit the stupid cheque
Joanne Abelson,5,2024-03-01 02:47:23,Works great,0,works great
Ammar Mardini,1,2024-02-28 12:43:51,"Very bad App , always a problem with viewing information, always logs you out",0,very bad app always a problem with viewing information always logs you out
Jake Brumby,1,2024-02-18 00:39:41,Cannot pay beneficiary that is saved in my online banking. There's no list of beneficiaries. This is an essential requirement of an online banking app. HSBC is slow in keeping up with technology. Update: 2 years later and it is still not possible to pay my beneficiaries. HSBC is one of the world's biggest and most profitable banks yet cannot add basic features to its app. Downgrading my rating from 2 stars to 1 star. Update in 2024 - this app is still awful. I still can't pay people using it.,24,cannot pay beneficiary that is saved in my online banking theres no list of beneficiaries this is an essential requirement of an online banking app hsbc is slow in keeping up with technology update years later and it is still not possible to pay my beneficiaries hsbc is one of the worlds biggest and most profitable banks yet cannot add basic features to its app downgrading my rating from stars to star update in this app is still awful i still cant pay people using it
Shailesh Deshpande,5,2024-02-16 14:42:23,Good,0,good
Thomas Cairns,1,2024-02-14 07:55:28,Just stopped working one day,0,just stopped working one day
Manish Bhatia,2,2024-02-02 12:03:46,Very slow and non- responsive sometimes. Does not clear push notifications properly,0,very slow and non responsive sometimes does not clear push notifications properly
Jayne Evans,5,2024-01-31 16:27:31,Reliable and easy to use.,0,reliable and easy to use
rose zhou,5,2024-01-31 13:44:44,Easy to use!,0,easy to use
Alyssa Cruz,2,2024-01-25 21:48:13,Electronic check deposits rarely work. It takes way too much time for the app to scan the check. I'd rather wait in line at the bank (it would be less stressful).,1,electronic check deposits rarely work it takes way too much time for the app to scan the check id rather wait in line at the bank it would be less stressful
Sheeba Chaturvedi,5,2024-01-24 13:03:14,Very user friendly,0,very user friendly
Darwin M,1,2024-01-20 18:32:36,De lo peor,0,de lo peor
Mohan muthanna,5,2024-01-18 16:10:33,lightning fast,0,lightning fast
Trevor Dennis,5,2024-01-18 10:08:20,Great product,0,great product
David Jevons,5,2024-01-16 20:20:12,Efficient and easy to access.,0,efficient and easy to access
manjula s s,5,2024-01-15 13:29:31,Very good functionality,0,very good functionality
Prapanch Mandana,5,2024-01-13 13:51:55,very easy feel very secure very fast,0,very easy feel very secure very fast
